164.64,165.392, 165.2, 161.71, 161.17, 161.97, 165.105, 165.089, 165.05, 165.4592, 165.4
161.62,164.64, 165.392, 165.2, 161.71, 161.17, 161.97, 165.105, 165.089, 165.05, 165.4592
165.24,161.62, 164.64, 165.392, 165.2, 161.71, 161.17, 161.97, 165.105, 165.089, 165.05
165.49,165.24, 161.62, 164.64, 165.392, 165.2, 161.71, 161.17, 161.97, 165.105, 165.089
165.93,165.49, 165.24, 161.62, 164.64, 165.392, 165.2, 161.71, 161.17, 161.97, 165.105
161.5,165.93, 165.49, 165.24, 161.62, 164.64, 165.392, 165.2, 161.71, 161.17, 161.97
165.59,161.5, 165.93, 165.49, 165.24, 161.62, 164.64, 165.392, 165.2, 161.71, 161.17
165.43,165.59, 161.5, 165.93, 165.49, 165.24, 161.62, 164.64, 165.392, 165.2, 161.71
166.1375,165.43, 165.59, 161.5, 165.93, 165.49, 165.24, 161.62, 164.64, 165.392, 165.2
165.44,166.1375, 165.43, 165.59, 161.5, 165.93, 165.49, 165.24, 161.62, 164.64, 165.392
165.49,165.44, 166.1375, 165.43, 165.59, 161.5, 165.93, 165.49, 165.24, 161.62, 164.64
165.3,165.49, 165.44, 166.1375, 165.43, 165.59, 161.5, 165.93, 165.49, 165.24, 161.62
165.09,165.3, 165.49, 165.44, 166.1375, 165.43, 165.59, 161.5, 165.93, 165.49, 165.24
165.85,165.09, 165.3, 165.49, 165.44, 166.1375, 165.43, 165.59, 161.5, 165.93, 165.49
164.8,165.85, 165.09, 165.3, 165.49, 165.44, 166.1375, 165.43, 165.59, 161.5, 165.93
165.11,164.8, 165.85, 165.09, 165.3, 165.49, 165.44, 166.1375, 165.43, 165.59, 161.5
165.435,165.11, 164.8, 165.85, 165.09, 165.3, 165.49, 165.44, 166.1375, 165.43, 165.59
161.34,165.435, 165.11, 164.8, 165.85, 165.09, 165.3, 165.49, 165.44, 166.1375, 165.43
161.9,161.34, 165.435, 165.11, 164.8, 165.85, 165.09, 165.3, 165.49, 165.44, 166.1375
165.74,161.9, 161.34, 165.435, 165.11, 164.8, 165.85, 165.09, 165.3, 165.49, 165.44
166.59,165.74, 161.9, 161.34, 165.435, 165.11, 164.8, 165.85, 165.09, 165.3, 165.49
161.81,166.59, 165.74, 161.9, 161.34, 165.435, 165.11, 164.8, 165.85, 165.09, 165.3
160.97,161.81, 166.59, 165.74, 161.9, 161.34, 165.435, 165.11, 164.8, 165.85, 165.09
166.65,160.97, 161.81, 166.59, 165.74, 161.9, 161.34, 165.435, 165.11, 164.8, 165.85
165.64,166.65, 160.97, 161.81, 166.59, 165.74, 161.9, 161.34, 165.435, 165.11, 164.8
165.1,165.64, 166.65, 160.97, 161.81, 166.59, 165.74, 161.9, 161.34, 165.435, 165.11
